leaf,family,n_items,n_flagged,n_clean,wiped_out
post_money_valuation,priced_equity,4,0,4,0
pre_vs_post_money,priced_equity,19,0,19,0
price_per_share,priced_equity,7,0,7,0
round_size,priced_equity,10,1,9,0
per_investor_allocation,priced_equity,5,0,5,0
liquidation_preference_multiple,priced_equity,8,0,8,0
participation_type,priced_equity,17,3,14,0
participation_cap,priced_equity,3,0,3,0
preference_seniority,priced_equity,9,0,9,0
dividend_rate_pct,priced_equity,6,0,6,0
dividend_cumulative,priced_equity,16,0,16,0
antidilution_type,priced_equity,5,0,5,0
antidilution_base,priced_equity,10,0,10,0
conversion_ratio,priced_equity,5,0,5,0
auto_conversion_trigger,priced_equity,5,0,5,0
redemption_rights,priced_equity,10,0,10,0
safe_valuation_cap,convertibles,8,0,8,0
safe_discount_rate,convertibles,9,0,9,0
safe_cap_vs_discount_applies,convertibles,13,0,13,0
safe_pre_post,convertibles,16,0,16,0
safe_mfn_present,convertibles,7,0,7,0
safe_pro_rata_side_letter,convertibles,15,0,15,0
note_principal,convertibles,7,0,7,0
note_interest_rate,convertibles,6,0,6,0
note_maturity_date,convertibles,4,0,4,0
note_valuation_cap,convertibles,4,0,4,0
note_discount,convertibles,4,0,4,0
note_qualified_financing_threshold,convertibles,2,0,2,0
current_ownership_pct,cap_table,9,9,0,1
founder_ownership_pct,cap_table,3,3,0,1
investor_ownership_pct,cap_table,4,4,0,1
employee_pool_pct,cap_table,1,1,0,1
option_pool_shuffle,cap_table,3,3,0,1
fully_diluted_basis,cap_table,8,0,8,0
multi_round_stacked_dilution,cap_table,5,5,0,1
liquidation_waterfall_payout,exit_waterfall,4,4,0,1
preference_stack_payout,exit_waterfall,2,0,2,0
convert_vs_preference_decision,exit_waterfall,2,2,0,1
board_seats_investor,rights_governance,9,0,9,0
protective_provisions,rights_governance,12,0,12,0
information_rights,rights_governance,12,0,12,0
pro_rata_rights,rights_governance,12,0,12,0
rofr_cosale,rights_governance,12,0,12,0
drag_along,rights_governance,12,0,12,0
vesting_acceleration,rights_governance,9,0,9,0
vesting_schedule,founder_equity,9,0,9,0
cliff_present,founder_equity,12,0,12,0
acceleration_trigger,founder_equity,13,0,13,0
option_strike_409a,founder_equity,7,0,7,0
exercise_window,founder_equity,5,0,5,0
securities_exemption,regulatory,10,1,9,0
form_d_fields,regulatory,2,0,2,0
s1_use_of_proceeds,regulatory,5,0,5,0
s1_risk_factors,regulatory,5,0,5,0
financial_statement_qa,regulatory,5,0,5,0
flag_offmarket_liqpref,risk_flag,10,0,10,0
flag_full_ratchet,risk_flag,7,0,7,0
flag_uncapped_participation,risk_flag,11,0,11,0
flag_missing_pro_rata,risk_flag,4,0,4,0
flag_internal_inconsistency,risk_flag,5,0,5,0
